"","Nest_Code","Day_of_trial","Daily_score","Predator","Treatment","Round_of_experiment","Start_date_of_trial","Site","GPS_coordinates","Number_of_trees_within_20m","Distance_to_path","Distance_to_building","Distance_to_edge_of_heath","Heath_degradation_Score","Removed_YN"
"10","10B",1,0,NA,"Control","R1","01/08/2019","S2","(50.7656778, -1.9587193)",0,63,650,112,3,"N"
"11","10B",2,0,NA,"Control","R1","01/08/2019","S2","(50.7656778, -1.9587193)",0,63,650,112,3,"N"
"12","10B",3,1,"Unidentified","Control","R1","01/08/2019","S2","(50.7656778, -1.9587193)",0,63,650,112,3,"N"
"13","10B",4,4,"Rodent","Control","R1","01/08/2019","S2","(50.7656778, -1.9587193)",0,63,650,112,3,"N"
"14","10B",5,0,NA,"Control","R1","01/08/2019","S2","(50.7656778, -1.9587193)",0,63,650,112,3,"N"
"15","10B",6,0,NA,"Control","R1","01/08/2019","S2","(50.7656778, -1.9587193)",0,63,650,112,3,"N"
"16","10B",7,0,NA,"Control","R1","01/08/2019","S2","(50.7656778, -1.9587193)",0,63,650,112,3,"N"
"17","10C",1,0,NA,"Control","R2","12/08/2019","S3","(50.7600038, -1.9571543)",0,13,680,655,0,"N"
"18","10C",2,4,"Rodent","Control","R2","12/08/2019","S3","(50.7600038, -1.9571543)",0,13,680,655,0,"N"
"19","10C",3,0,NA,"Control","R2","12/08/2019","S3","(50.7600038, -1.9571543)",0,13,680,655,0,"N"
"20","10C",4,2,"Rodent","Control","R2","12/08/2019","S3","(50.7600038, -1.9571543)",0,13,680,655,0,"N"
"21","10C",5,0,NA,"Control","R2","12/08/2019","S3","(50.7600038, -1.9571543)",0,13,680,655,0,"N"
"22","10C",6,0,NA,"Control","R2","12/08/2019","S3","(50.7600038, -1.9571543)",0,13,680,655,0,"N"
"23","10C",7,0,NA,"Control","R2","12/08/2019","S3","(50.7600038, -1.9571543)",0,13,680,655,0,"N"
"24","10D",1,0,NA,"Experimental","R3","25/08/2019","S6","(50.7581920, -1.9759297)",13,1,65,60,2,"N"
"25","10D",2,0,NA,"Experimental","R3","25/08/2019","S6","(50.7581920, -1.9759297)",13,1,65,60,2,"N"
"26","10D",3,0,NA,"Experimental","R3","25/08/2019","S6","(50.7581920, -1.9759297)",13,1,65,60,2,"N"
"27","10D",4,3,"Rodent","Experimental","R3","25/08/2019","S6","(50.7581920, -1.9759297)",13,1,65,60,2,"N"
"28","10D",5,3,"Rodent","Experimental","R3","25/08/2019","S6","(50.7581920, -1.9759297)",13,1,65,60,2,"N"
"29","10D",6,0,NA,"Experimental","R3","25/08/2019","S6","(50.7581920, -1.9759297)",13,1,65,60,2,"N"
"30","10D",7,0,NA,"Experimental","R3","25/08/2019","S6","(50.7581920, -1.9759297)",13,1,65,60,2,"N"
"33","11B",1,0,NA,"Experimental","R1","01/08/2019","S2","(50.7657082, -1.9581956)",25,24,620,120,2,"N"
"34","11B",2,0,NA,"Experimental","R1","01/08/2019","S2","(50.7657082, -1.9581956)",25,24,620,120,2,"N"
"35","11B",3,0,NA,"Experimental","R1","01/08/2019","S2","(50.7657082, -1.9581956)",25,24,620,120,2,"N"
"36","11B",4,0,NA,"Experimental","R1","01/08/2019","S2","(50.7657082, -1.9581956)",25,24,620,120,2,"N"
"37","11B",5,0,NA,"Experimental","R1","01/08/2019","S2","(50.7657082, -1.9581956)",25,24,620,120,2,"N"
"38","11B",6,0,NA,"Experimental","R1","01/08/2019","S2","(50.7657082, -1.9581956)",25,24,620,120,2,"N"
"39","11B",7,1,"Unidentified","Experimental","R1","01/08/2019","S2","(50.7657082, -1.9581956)",25,24,620,120,2,"N"
"40","11C",1,0,NA,"Control","R2","12/08/2019","S4","(50.7563904, -1.9467517)",0,14,300,205,1,"N"
"41","11C",2,4,"Rodent","Control","R2","12/08/2019","S4","(50.7563904, -1.9467517)",0,14,300,205,1,"N"
"42","11C",3,0,NA,"Control","R2","12/08/2019","S4","(50.7563904, -1.9467517)",0,14,300,205,1,"N"
"43","11C",4,0,NA,"Control","R2","12/08/2019","S4","(50.7563904, -1.9467517)",0,14,300,205,1,"N"
"44","11C",5,0,NA,"Control","R2","12/08/2019","S4","(50.7563904, -1.9467517)",0,14,300,205,1,"N"
"45","11C",6,0,NA,"Control","R2","12/08/2019","S4","(50.7563904, -1.9467517)",0,14,300,205,1,"N"
"46","11C",7,0,NA,"Control","R2","12/08/2019","S4","(50.7563904, -1.9467517)",0,14,300,205,1,"N"
"47","11D",1,0,NA,"Experimental","R3","25/08/2019","S2","(50.7654062, -1.9615326)",3,9,820,126,0,"N"
"48","11D",2,0,NA,"Experimental","R3","25/08/2019","S2","(50.7654062, -1.9615326)",3,9,820,126,0,"N"
"49","11D",3,0,NA,"Experimental","R3","25/08/2019","S2","(50.7654062, -1.9615326)",3,9,820,126,0,"N"
"50","11D",4,1,"Unidentified","Experimental","R3","25/08/2019","S2","(50.7654062, -1.9615326)",3,9,820,126,0,"N"
"51","11D",5,0,NA,"Experimental","R3","25/08/2019","S2","(50.7654062, -1.9615326)",3,9,820,126,0,"N"
"52","11D",6,0,NA,"Experimental","R3","25/08/2019","S2","(50.7654062, -1.9615326)",3,9,820,126,0,"N"
"53","11D",7,0,NA,"Experimental","R3","25/08/2019","S2","(50.7654062, -1.9615326)",3,9,820,126,0,"N"
"63","12B",1,3,"Rodent","Experimental","R1","01/08/2019","S2","(50.7652281, -1.9580957)",7,25,650,174,0,"N"
"64","12B",2,1,"Unidentified","Experimental","R1","01/08/2019","S2","(50.7652281, -1.9580957)",7,25,650,174,0,"N"
"65","12B",3,0,NA,"Experimental","R1","01/08/2019","S2","(50.7652281, -1.9580957)",7,25,650,174,0,"N"
"66","12B",4,0,NA,"Experimental","R1","01/08/2019","S2","(50.7652281, -1.9580957)",7,25,650,174,0,"N"
